,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
4088,1699000$,"6930,53$","880,51$","4740,00$",,Rosemont / La Petite Patrie,Montréal / l'Île,"5255, avenue des Sapins",4,2,,2,"3,150 pi² (292.64 m²)","5,000 pi² (464.52 m²)"
4089,229000$,,,,,Papineauville,Outaouais,"2981, route 148",,,,,,"29,766 pi² (2,765.35 m²)"
4090,360000$,"3056,41$","212,42$",,"850,00$",Drummondville (Drummondville),Centre-du-Québec,"463-465, rue Saint-Georges",2,1,,,,"7,598 pi² (705.88 m²)"
4091,350000$,"8958,24$","207,86$","650,00$",,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),"2323, route Lagueux",,,,,,"8,008.35 pi² (744 m²)"
4092,499999$,"2700,00$","400,00$","1680,00$",,Gatineau (Aylmer),Outaouais,"5, impasse Emerson",3,1,1,2,"1,188 pi² (110.37 m²)",61.81x83.69 pi (18.84x25.51 m)
4093,126500$,"1069,15$","40,21$",,,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,"481, rue Sainte-Marthe",,,,,,"9,036 pi² (839.47 m²)"
4094,422500$,"2800,00$","200,00$","1900,00$",,Daveluyville,Centre-du-Québec,"461, 5e Rue",4,2,,1,"1,176 pi² (109.25 m²)","7,000 pi² (650.32 m²)"
4096,599000$,"3367,00$","244,00$","1224,00$","1366,00$",Ste-Sophie,Laurentides,"144, rue des Bosquets",3,1,1,2,"1,184.03 pi² (110 m²)","6,319.49 pi² (587.1 m²)"
4097,379000$,"2978,18$","225,56$","1537,94$",,St-Augustin-De-Desmaures,Québec Rive-Nord,"301, rue du Meunier",3,2,,1,28x29 pi (8.53x8.84 m),6 000 pi² (557.42 m²)
4098,154900$,,,,,Val-Des-Monts (Perkins),Outaouais,"354, chemin Saint-Antoine",,,,,,"43,560.00 pi² (1 acre)"
4099,405000$,,,,,Gatineau (Gatineau),Outaouais,"111, rue Drakkar",4,1,1,2,"1,345 pi² (124.95 m²)","4,660.77 pi² (433 m²)"
4100,295000$,"1929,00$","136,00$","1200,00$","960,00$",Gatineau (Gatineau),Outaouais,"22, rue de Laprairie",2,1,,1,606 pi² (56.3 m²),"2,124 pi² (197.33 m²)"
4101,900000$,"4490,12$","551,73$",,,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,"7991-7993-7995, rue Chabot",3,1,1,,,"2,540.28 pi² (236 m²)"
4102,537000$,"4162,00$","302,00$","1823,00$","1123,00$",La Pocatiere,Bas-Saint-Laurent,"750, rue du Cheminot",2,2,1,1,"1,557 pi² (144.65 m²)","10,893.08 pi² (1,012 m²)"
4103,849900$,"3512,04$","413,62$","3300,00$",,St-Lazare,Montérégie Ouest,"2684, rue du Kentucky",5,2,1,3,,"16,763 pi² (1,557.33 m²)"
4104,275000$,"900,32$","281,00$","2278,80$","1560,00$",St-Eugène-De-Grantham,Centre-du-Québec,"935, chemin de Saint-Hyacinthe",4,1,,2,"1,263.58 pi² (117.39 m²)","50,000.52 pi² (4,645.2 m²)"
4105,519000$,"5431,81$","266,03$","3688,84$","1846,00$",Baie-Comeau,Côte-Nord,"25, avenue Bellevue",3,1,2,2,"2,897 pi² (269.14 m²)","26,416 pi² (2,454.13 m²)"
4106,998700$,"4670,00$","572,00$","1165,00$",,Rosemont / La Petite Patrie,Montréal / l'Île,"4628, 2e Avenue",3,2,1,3,"1,758 pi² (163.32 m²)",
4108,514800$,,,,,Val-Des-Monts,Outaouais,"11, chemin Folklore - Modèle Le Bercail - À CONSTRUIRE - Par Les Constructions MCL",3,1,1,2,"1,194 pi² (110.93 m²)",
4109,337900$,,,,,Drummondville (Drummondville),Centre-du-Québec,"375, rue de l'Aligoté - Par Construction Serge Brouillette",2,1,,1,"1,088 pi² (101.08 m²)","5,305.5 pi² (492.9 m²)"
4110,326900$,,,,,Drummondville (Drummondville),Centre-du-Québec,"410, rue du l'Aligoté - Par Construction Serge Brouillette",2,1,,1,1 088 pi² (101.08 m²),5 303 pi² (492.66 m²)
4111,900000$,"2974,28$","413,27$",,,Brossard,Montérégie (Rive-Sud Montréal),"7875, avenue Sartre",4,1,1,2,,"5,597.23 pi² (520 m²)"
4112,399000$,"1774,85$","195,48$",,,La Prairie,Montérégie (Rive-Sud Montréal),"304-195, rue Longtin",3,1,,2,1 229 pi² (114.18 m²),
4113,650000$,,,,,La Malbaie,Charlevoix,boulevard Malcolm-Fraser,,,,,,"3,000,000 pi² (278,709.12 m²)"
4114,1250000$,"4726,81$","1057,85$","2135,00$","1080,00$",Varennes,Montérégie (Rive-Sud Montréal),"4800, route Marie-Victorin",3,2,1,1,"2,142 pi² (199 m²)","42,216 pi² (3,921.99 m²)"
4115,335000$,"1652,58$","190,05$",,,Ahuntsic / Cartierville,Montréal / l'Île,"104-1595, rue Louis-Carrier",2,1,,1,"1,017 pi² (94.48 m²)",
4116,402000$,,,,,Lévis,Québec Rive-Sud (Lévis),"710-712-714, rue Hypolite-Bernier",6,3,,,,"6,500 pi² (603.87 m²)"
4117,650000$,"3734,50$","296,42$","4250,00$",,ND-Du-Mont-Carmel,Mauricie,"51, rue des Cerisiers",4,3,,2,"2,500 pi² (232.26 m²)","139,139.69 pi² (12,926.5 m²)"
4118,289000$,"1424,46$","100,00$","2000,00$","900,00$",Chertsey,Lanaudière,"4020, chemin de l'Église",2,1,1,2,"1,200 pi² (111.48 m²)","37,000 pi² (3,437.41 m²)"
4120,525000$,"3377,00$","369,00$","4000,00$","2265,00$",Granby,Estrie,"516, rue Brunelle",5,4,2,2,"2,020 pi² (187.66 m²)","43,628.28 pi² (4,053.2 m²)"
4121,725000$,"3707,62$","391,78$","2417,76$","2412,00$",Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"1049, rue Bourget",4,3,1,2,1 961 pi² (182.18 m²),4 258 pi² (395.58 m²)
4122,520000$,,,,,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"5155-5157, rue Lacordaire",,,,,,"2,685.60 pi² (249.5 m²)"
4123,929000$,"4626,41$","538,00$",,,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"5890, rue Chauveau",3,1,,,,34.02 pi² (3.16 m²)
4124,369000$,"2025,00$","205,00$","2600,00$",,Wickham,Centre-du-Québec,"884, rue Bruno",5,2,,2,"1,450 pi² (134.71 m²)","7,500 pi² (696.77 m²)"
4125,1785000$,"5795,00$","515,00$",,,Ste-Marguerite-Du-Lac-Masson,Laurentides,"117-117A, rue des Trembles",2,2,1,,,"10,768.22 pi² (1,000.4 m²)"
4126,160000$,,,,,Cantley,Outaouais,rue de Saturne,,,,,,"4,133 pi² (383.97 m²)"
4127,665000$,,"399,82$",,"1711,72$",Rosemont / La Petite Patrie,Montréal / l'Île,"6431-6433, boulevard Saint-Michel",6,2,,,,"2,101.12 pi² (195.2 m²)"
4128,459900$,"4134,41$","353,30$","2800,00$",,Lac-Beauport,Québec Rive-Nord,"90, chemin des Mélèzes",5,1,1,1,"1,180 pi² (109.63 m²)","7,170 pi² (666.11 m²)"
4129,499900$,"3000,00$","300,00$",,,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,"835, 5e Avenue",3,2,,1,"1,150 pi² (106.84 m²)","6,600 pi² (613.16 m²)"
4130,325000$,"2463,99$","400,00$","3600,00$",,Alma,Saguenay-Lac-Saint-Jean,"202, rue de la Pente-Douce",4,2,,1,"1,205 pi² (111.95 m²)","8,913 pi² (828.04 m²)"
4132,"8,15$",,,,,Bécancour (Ste-Angèle),Centre-du-Québec,avenue des Capucines,,,,,,"10,000 pi² (929.03 m²)"
4133,579000$,"2767,00$","290,00$","1917,00$","1182,00$",Granby,Estrie,"854, rue de Beauport",4,1,1,2,1 700 pi² (157.94 m²),32 607 pi² (3 029.29 m²)
4134,279000$,"3624,00$","195,00$",,,Matane,Bas-Saint-Laurent,"124, rue René-Tremblay",4,2,,1,1 090 pi² (101.26 m²),90x96 pi (27.43x29.26 m)
4135,319000$,"1644,76$","146,19$",,,Longueuil (Greenfield Park),Montérégie (Rive-Sud Montréal),"201-1724, avenue Victoria",2,1,,3,"1,006 pi² (93.46 m²)",
4136,415000$,"3270,30$","210,80$","2372,80$","939,58$",Trois-Rivières (Pointe-Du-Lac),Mauricie,"161, place Dubois",3,2,,1,"1,112.61 pi² (103.36 m²)","38,654 pi² (3,591.07 m²)"
4137,249900$,,,,,Donnacona,Portneuf,coin rue Richard et Giroux - Par Construction APP inc.,2,1,,2,,
4138,659000$,"4900,00$","435,00$","2600,00$","835,00$",St-Augustin-De-Desmaures,Québec Rive-Nord,"124, rue de la Trinquette",3,1,1,2,"1,680 pi² (156.08 m²)","8,500 pi² (789.68 m²)"
4139,529000$,"2146,07$","300,00$","720,00$","1400,00$",St-Placide,Laurentides,"4711, route 344",3,2,,3,"2,000 pi² (185.81 m²)","28,974 pi² (2,691.77 m²)"
4140,748500$,"3817,27$","428,87$","1724,76$",,Ste-Rose,Laval,"6537, place Desparois",4,2,1,2,"2,374 pi² (220.55 m²)","6,713 pi² (623.66 m²)"
4141,549000$,"2847,56$","274,36$","1467,24$","751,52$",Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"281, boulevard Vauquelin",3,2,1,2,"1,064.34 pi² (98.88 m²)","4,611.26 pi² (428.4 m²)"
4142,489900$,"2309,00$","232,00$","1420,00$","960,00$",Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"652, rue Milot",3,1,1,1,,"3,239.94 pi² (301 m²)"
4144,499900$,,,,,Racine,Estrie,"444, rue Principale",,,,,,"51,583.89 pi² (4,792.3 m²)"
4145,102000$,,,,,St-Alphonse-Rodriguez,Lanaudière,rue de la Détente,,,,,,"195,000 pi² (18,116.09 m²)"
4146,28000$,,,,,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,rues du Fort et de la Garnision,,,,,,"8,000 pi² (743.22 m²)"
4147,559000$,"2852,49$","345,78$","1065,72$",,Saint-Laurent,Montréal / l'Île,"117-335, boulevard Marcel-Laurin",3,2,,2,1 212 pi² (112.6 m²),300 pi² (27.87 m²)
4148,335000$,"2626,00$","145,80$",,,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,"3020, rue de Toulouse",4,2,,2,936 pi² (86.96 m²),"13,932 pi² (1,294.33 m²)"
4149,439000$,"3196,00$","138,94$","1800,00$","2520,00$",Sorel-Tracy,Montérégie (Rive-Sud Montréal),"1330, chemin des Patriotes",4,2,,1,"1,200 pi² (111.48 m²)","19,345 pi² (1,797.21 m²)"
4150,1175000$,"4650,31$","603,27$",,,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"1267-1269-1271-1273, rue Cartier",6,4,,,,"1,714.69 pi² (159.3 m²)"
4151,419000$,"2170,19$","269,93$","770,00$","362,97$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"102-901, rue de la Commune Est",1,1,,1,582.32 pi² (54.1 m²),279 pi² (25.92 m²)
4152,245000$,"2563,34$","446,00$","2350,00$","1000,00$",Sept-Iles,Côte-Nord,"3, rue Saint-Laurent",3,1,,1,"1,168 pi² (108.51 m²)","7,000 pi² (650.32 m²)"
4153,649900$,"3764,00$","462,00$","2136,00$",,St-Lin-Laurentides,Lanaudière,"1179, rue des Portes-de-Saint-Lin",3,1,1,2,"1,656 pi² (153.85 m²)","6,997 pi² (650.04 m²)"
4154,498000$,"2539,43$","250,01$","3750,00$","1252,22$",Fabreville,Laval,"975, 41e Avenue",3,1,1,2,1 848 pi² (171.68 m²),6 400 pi² (594.58 m²)
4156,799000$,"5031,00$","416,00$","5000,00$","1400,00$",Gatineau (Gatineau),Outaouais,"243, rue Essiambre",6,3,2,2,"2,434.44 pi² (226.17 m²)","13,242.84 pi² (1,230.3 m²)"
4157,250000$,"3626,56$",,,,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"3607-3609-3611, boulevard du Saguenay",5,3,1,,,"4,850.22 pi² (450.6 m²)"
4158,420000$,"2117,14$","156,41$",,,Mascouche,Lanaudière,"102-190, rue Bohémier",2,1,,1,"1,231.39 pi² (114.4 m²)",162.34 pi² (15.08 m²)
4159,819000$,"4701,00$","629,00$","1223,00$","924,00$",Outremont,Montréal / l'Île,"708-115, chemin de la Côte-Sainte-Catherine",2,2,,1,"1,364 pi² (126.72 m²)",
4160,269900$,"1400,00$","700,00$","480,00$","280,00$",Gatineau (Gatineau),Outaouais,"404-138, rue de Lausanne",2,1,,3,"1,262 pi² (117.24 m²)",
4161,395000$,,,,,St-Vincent-de-Paul,Laval,boulevard Lesage,,,,,,"4,108.58 pi² (381.7 m²)"
4162,625000$,"4140,00$","288,00$","2800,00$","2170,00$",Ste-Adèle,Laurentides,"1747-1749, rue Garibaldi",4,2,1,3,"2,300 pi² (213.68 m²)","16,000 pi² (1,486.45 m²)"
4163,495000$,"4060,83$","269,58$",,,Victoriaville,Centre-du-Québec,"412, rue des Pétunias",5,2,1,2,"2,500 pi² (232.26 m²)","13,800 pi² (1,282.06 m²)"
4164,200000$,"1722,66$","90,64$","1600,00$","1175,02$",Trois-Rivières (Trois-Rivières),Mauricie,"8835, boulevard Saint-Jean",3,1,,2,"1,440 pi² (133.78 m²)","73,983.59 pi² (6,873.3 m²)"
4165,554000$,,,,,Alma,Saguenay-Lac-Saint-Jean,"720, avenue de la Constellation",3,2,1,2,"2,143 pi² (199.09 m²)",100x126 pi (30.48x38.40 m)
4166,154900$,"633,14$",,"200,00$","600,00$",Bouchette,Outaouais,"7, chemin Fortin",1,1,,1,270 pi² (25.08 m²),"9,915.71 pi² (921.2 m²)"
4168,169000$,,,,,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,chemin de l'Érablière,,,,,,"44,000 pi² (4,087.73 m²)"
4169,242000$,,,,,St-Bernard,Chaudière-Appalaches,"587, rue des Chênes",3,2,,1,918 pi² (85.28 m²),"5,000 pi² (464.52 m²)"
4170,365000$,"1125,00$",,,,St-Côme,Lanaudière,"76, avenue des Neiges",3,1,1,2,"1,008 pi² (93.65 m²)",
4171,259900$,"1264,62$","99,70$",,,St-Côme-Linière,Chaudière-Appalaches,"457, route du Président Kennedy",4,2,1,2,"2,956 pi² (274.62 m²)",131.99x245.08 pi (40.23x74.7 m)
4172,195000$,,,,,Chertsey,Lanaudière,"6905, boulevard du 7e-Lac",,,,,,"130,000 pi² (12,077.4 m²)"
4173,365000$,"1614,02$","141,76$","1118,00$","540,00$",Orford,Estrie,"41, rue des Parulines",3,1,,1,538.5 pi² (50.03 m²),4 499.75 pi² (418.04 m²)
4174,999999$,"3800,00$","900,00$",,,Brossard,Montérégie (Rive-Sud Montréal),"7700, boulevard Marie-Victorin",9,3,,1,"2,074 pi² (192.68 m²)","10,899.54 pi² (1,012.6 m²)"
4175,849000$,"3643,00$","370,00$",,,Granby,Estrie,"196, rue Morin",3,1,1,2,"1,882 pi² (174.84 m²)","35,138.78 pi² (3,264.5 m²)"
4176,450000$,"1605,98$","178,00$","850,00$","984,00$",Pierrefonds / Roxboro,Montréal / l'Île,"401-5261, rue Riviera",2,1,1,1,"1,001.04 pi² (93 m²)",
4177,340000$,"1609,00$","173,00$",,,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,"5-16405, rue Bureau",2,1,,1,977.36 pi² (90.8 m²),"2,672.46 pi² (248.28 m²)"
4178,449900$,"2796,28$","337,95$","840,00$","656,04$",Le Plateau-Mont-Royal,Montréal / l'Île,"414-1205, rue Saint-Grégoire",1,1,,2,865 pi² (80.36 m²),
4180,324500$,"1800,00$","500,00$","1800,00$",,Cowansville,Estrie,"144, rue Lauder",3,1,1,2,,"3,688.79 pi² (342.7 m²)"
4181,1395000$,"6364,00$","780,00$","2950,00$",,Saint-Léonard,Montréal / l'Île,"5680, rue Doussin",4,3,,1,"1,930 pi² (179.3 m²)","6,145 pi² (570.89 m²)"
4182,455000$,"1193,11$","40,00$","1380,00$",,Bécancour (Bécancour),Centre-du-Québec,"5220, boulevard du Danube",4,1,,2,"1,656 pi² (153.85 m²)","2,097,703.16 pi² (57 arpents)"
4183,525000$,"2072,00$","172,00$","1760,00$","1185,00$",Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"3565, rue Caron",3,2,,2,1 377.78 pi² (128 m²),4 499.31 pi² (418 m²)
4184,949000$,"4522,00$",,,,Vimont,Laval,"2532, rue de Mâcon",3,2,1,2,,"5,447.62 pi² (506.1 m²)"
4185,249000$,,,,,ND-Du-Laus,Laurentides,chemin Val-Ombreuse,,,,,,"114,261.06 pi² (10,615.2 m²)"
4186,795000$,,,,,St-Lazare,Montérégie Ouest,"1351, rue du Sous-Bois",5,2,1,2,,"8,292.51 pi² (770.4 m²)"
4187,224900$,"2022,33$","500,00$","1140,00$",,Beauport,Québec Rive-Nord,"533, rue de la Parmentière",2,1,,1,1 000 pi² (92.9 m²),3 650 pi² (339.1 m²)
4188,895000$,"3555,31$","421,04$","100,00$","1178,00$",Rosemont / La Petite Patrie,Montréal / l'Île,"6206-6208, rue de Normanville",2,1,,,,"1,895 pi² (176.05 m²)"
4189,430000$,"2198,00$","263,00$",,,Rosemont / La Petite Patrie,Montréal / l'Île,"203-5650, rue Chambord",1,1,,1,642 pi² (59.64 m²),
4190,495000$,"457,00$","192,00$",,,St-Honore-De-Chicoutimi,Saguenay-Lac-Saint-Jean,"1601, rue de l'Hôtel-de-Ville",,,,,,"8,712,000.03 pi² (200 acres)"
4192,374000$,,,,,Ste-Marie,Chaudière-Appalaches,"966, rue des Frères-Paré - Par Rochette Construction",2,1,,1,,"7,100 pi² (659.61 m²)"
4193,278000$,,,,,L'Islet,Chaudière-Appalaches,"3, avenue de la Perdrix - Par Constructions Olivier Landry inc.",4,1,1,1,756 pi² (70.23 m²),"6,674 pi² (620.03 m²)"
4194,74500$,,,,,Mont-Tremblant,Laurentides,"Lot 4-34, chemin de l'Hémisphère-Nord",,,,,,"8,176 pi² (759.58 m²)"
4195,260000$,"2120,00$","300,00$","1700,00$",,St-Georges,Chaudière-Appalaches,"16678, 20e Avenue",3,1,1,2,768 pi² (71.35 m²),"5,081.64 pi² (472.1 m²)"
4196,538000$,"2456,00$","297,00$","540,00$",,Candiac,Montérégie (Rive-Sud Montréal),"3-68, rue de Sofia",2,1,,1,"1,200 pi² (111.48 m²)",
4197,535000$,"2289,30$","297,76$","1019,40$","750,00$",Brossard,Montérégie (Rive-Sud Montréal),"5644, rue Aline",4,2,,1,"1,160 pi² (107.77 m²)","5,461 pi² (507.34 m²)"
4198,342000$,"1433,58$","122,64$",,,Orford,Estrie,"16, rue des Ostryers",2,1,,2,955.40 pi² (88.76 m²),4 809.32 pi² (446.8 m²)
4199,115000$,,,,,St-Ours,Montérégie (Rive-Sud Montréal),rue de la Grande-Ourse,,,,,,"8,803.8 pi² (817.9 m²)"
4200,640000$,"4090,00$","324,00$","2760,00$",,Gatineau (Gatineau),Outaouais,"1457, rue de Dolbeau",4,2,,1,"1,373 pi² (127.56 m²)","10,790 pi² (1,002.42 m²)"
4201,100000$,"1887,57$","40,00$",,"2820,00$",Shawinigan (Shawinigan),Mauricie,"1087-1089, avenue Lévis",3,1,,,,1 999.93 pi² (185.8 m²)
4202,3200000$,"21733,00$","885,00$","1500,00$","9561,00$",Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,"1569-1571-1573, rue Ontario Est",4,10,4,,,"6,240 pi² (579.71 m²)"
4204,649000$,"4261,92$","614,95$","3088,82$","1250,23$",St-Antoine-De-Tilly,Chaudière-Appalaches,"4608, route Marie-Victorin",2,2,,2,"1,617.82 pi² (150.3 m²)","29,878.46 pi² (2,775.8 m²)"
4205,349000$,"1988,00$","155,96$","1690,00$",,Magog,Estrie,"487, rue Duplessis",4,2,,1,900 pi² (83.61 m²),"11,991 pi² (1,114 m²)"
4206,165000$,,,,,La Pêche (Wakefield),Outaouais,Wakefield sur le Golf,,,,,,
4207,165000$,,,,,La Pêche (Wakefield),Outaouais,Wakefield sur le Golf,,,,,,
4208,165000$,,,,,La Pêche (Wakefield),Outaouais,Wakefield sur le Golf,,,,,,
4209,165000$,,,,,La Pêche (Wakefield),Outaouais,Wakefield sur le Golf,,,,,,
4210,165000$,,,,,La Pêche (Wakefield),Outaouais,Wakefield sur le Golf,,,,,,
4211,264900$,"2263,00$","188,00$",,,Lac-St-Charles,Québec Rive-Nord,567b rue des Eaux-Fraîches,2,1,1,1,,2 030 pi² (188.59 m²)
4212,779900$,"2750,00$","265,00$","3546,00$","3000,00$",Lavaltrie,Lanaudière,"180, rue Denoncourt",4,5,,3,"4,000 pi² (371.61 m²)","14,000 pi² (1,300.64 m²)"
4213,240000$,"2503,76$","33,41$","1222,92$","956,00$",Métabetchouan-Lac-à-la-Croix,Saguenay-Lac-Saint-Jean,"15, avenue Villeneuve",4,1,1,2,"1,792 pi² (166.48 m²)","8,000 pi² (743.22 m²)"
4214,698750$,,,,,Ste-Julie,Montérégie (Rive-Sud Montréal),"2694, boulevard Armand-Frappier",5,2,1,2,"2,000 pi² (185.81 m²)","5,037 pi² (467.95 m²)"
4216,105000$,,,,,Beaumont,Chaudière-Appalaches,rue du Fort de Beaumont - Phase 2 - Par Construction Simon Breton,,,,,,"5,075 pi² (471.48 m²)"
4217,799900$,"3458,71$",,"6000,00$",,L'Ange-Gardien-Outaouais,Outaouais,"5624, chemin River",4,2,,1,"2,820 pi² (261.99 m²)","143,748.00 pi² (3.3 acres)"
4218,649000$,"2754,44$","327,32$",,,St-Denis-De-Brompton,Estrie,"360, rue du Patrimoine",4,2,,1,"1,250 pi² (116.13 m²)","65,340.00 pi² (1.5 acre)"
4219,538000$,"3350,00$","307,56$","3900,00$","1800,00$",Alma,Saguenay-Lac-Saint-Jean,"160, avenue des Lupins",5,3,1,1,"2,016 pi² (187.29 m²)","7,500 pi² (696.77 m²)"
4220,939000$,"4726,24$","262,29$",,,St-Donat,Lanaudière,"225, avenue du Lac",,,,,,100.00x108.76 pi (30.48x33.15 m)
4221,830000$,"5695,97$","438,22$","1755,99$","1995,95$",Gatineau (Hull),Outaouais,"68, rue René-Marengère",08,4,,,,431.1 pi² (40.05 m²)
4222,315000$,"2770,00$","275,00$","720,00$",,Cap-Rouge,Québec Rive-Nord,"502-1480, rue Maires Lessard",2,1,,1,,
4223,799000$,"5186,00$","567,00$","1835,00$","1500,00$",St-Nicolas,Québec Rive-Sud (Lévis),"392, rue des Alluvions",4,2,1,2,"2,268 pi² (210.7 m²)","31,741 pi² (2,948.84 m²)"
4224,169900$,,,,,Château-Richer,Québec Rive-Nord,montée du Parc,,,,,,"24,199 pi² (2,248.16 m²)"
4225,649900$,,,,,St-Côme,Lanaudière,"41, rue des Sommets - Par Chalets MELYA Inc.",3,2,,2,1 550 pi² (144 m²),
4226,679000$,"3453,02$","347,08$","3686,15$",,Cantley,Outaouais,"40, chemin du Mont-des-Cascades",4,2,,2,"1,860 pi² (172.8 m²)","82,763 pi² (7,688.93 m²)"
4228,499000$,"2557,49$","425,00$","6940,09$","2834,00$",Pointe-A-La-Croix,Gaspésie-Îles-de-la-Madeleine,"46, rue Berthelot",15,3,3,1,"2,550 pi² (236.9 m²)",132x100 pi (40.23x30.48 m)
4229,430000$,"3249,00$","312,00$","2000,00$",,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),"54, rue de Colombelles",2,1,,1,"1,140 pi² (105.91 m²)","15,945 pi² (1,481.34 m²)"
4230,25200$,,,,,St-Damien-De-Buckland,Chaudière-Appalaches,"101, Boulevard Père Brousseau",,,,,,
4231,450000$,"1712,36$","139,37$",,,Messines,Outaouais,"50, chemin de la Ferme",2,1,,1,,"87,120.00 pi² (2 acres)"
4232,86000$,,"15,00$",,,Notre-Dame-Des-Bois,Estrie,"164, chemin Jeannot + Gaudreau",,,,,,"4,413.20 pi² (410 m²)"
4233,369000$,"2544,00$","192,00$","900,00$","1200,00$",Caplan,Gaspésie-Îles-de-la-Madeleine,"11, route Arsenault",2,1,1,1,"1,120 pi² (104.05 m²)","29,400 pi² (2,731.35 m²)"
4234,595000$,"3920,00$","285,00$","3000,00$","1500,00$",St-Nicolas,Québec Rive-Sud (Lévis),"863, rue de Neubourg",5,2,1,2,"2,049 pi² (190.36 m²)","10,500 pi² (975.48 m²)"
4235,395000$,"1683,47$","160,32$",,,Stratford,Estrie,"377, rang Beau-lac",,,,,,"24,485.74 pi² (2,274.8 m²)"
4236,1950000$,"4200,00$","550,00$","3400,00$","2300,00$",Sutton,Estrie,"1772, chemin du Mont-Écho",3,2,,2,"2,300 pi² (213.68 m²)","609,840.00 pi² (14 acres)"
4237,267830$,,,,,Saint-Laurent,Montréal / l'Île,"718, rue Filiatrault",1,1,,1,782 pi² (72.65 m²),
4238,1199000$,"6553,00$","768,00$",,,Rosemont / La Petite Patrie,Montréal / l'Île,"6598-6602, avenue Christophe-Colomb",5,3,,,,"2,322.85 pi² (215.8 m²)"
4240,429000$,,,,,St-Augustin-De-Desmaures,Québec Rive-Nord,"710-4984, rue Lionel-Groulx",2,1,1,1,"1,535.9 pi² (142.69 m²)",
4241,799000$,"4619,85$","430,88$",,"2187,00$",Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"1809-1811-1813-1815, rue Saint-Alexandre",6,4,,,,45.01x105.97 pi (13.72x32.3 m)
4242,300000$,"1795,44$","123,54$",,,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,"169, route 232 Est",5,1,1,2,27x52 pi (8.23x15.85 m),"1,787,634.73 pi² (166,076.7 m²)"
4243,125000$,,,,,Gore,Laurentides,rue Purdie,,,,,,165.68x278.87 pi (50.5x85 m)
4244,138000$,"1604,00$","58,00$",,,Ste-Sabine-De-Bellechasse,Chaudière-Appalaches,"109, rue Principale",5,2,,1,1 092 pi² (101.45 m²),43x104 pi (13.11x31.70 m)
4245,760000$,"4704,70$","464,18$","3050,00$","4137,64$",Petite-Rivière-St-François,Charlevoix,"148, chemin du Trait-Carré",3,3,1,3,"1,980 pi² (183.95 m²)","29,332.73 pi² (2,725.1 m²)"
4246,349000$,"2650,00$","250,00$","1800,00$","2000,00$",L'Anse-St-Jean,Saguenay-Lac-Saint-Jean,"9, rue Côté",2,1,1,2,"1,350 pi² (125.42 m²)","42,517 pi² (3,949.96 m²)"
4247,295000$,"2180,00$","160,00$",,,Gatineau (Gatineau),Outaouais,"16, rue de Drapeau",3,1,1,1,615 pi² (57.14 m²),3 000 pi² (278.71 m²)
4248,516500$,"3316,00$","355,00$","268,00$",,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),"2281, rue des Alluchons",5,1,1,1,1 214 pi² (112.78 m²),7 007 pi² (650.97 m²)
4249,574000$,"1893,00$","291,58$","2444,00$","1474,80$",St-Joachim-De-Shefford,Estrie,"588, 1er Rang Ouest",3,2,2,1,"1,754 pi² (162.95 m²)","32,291 pi² (2,999.93 m²)"
4250,195000$,"2903,13$","111,08$","1260,00$",,St-Bruno,Saguenay-Lac-Saint-Jean,"761-763A, avenue Saint-Alphonse",2,1,,,,"4,936.32 pi² (458.6 m²)"
4252,35000$,,,,,Ste-Monique,Saguenay-Lac-Saint-Jean,Développement Chute à la Savane,,,,,,
4253,1249000$,"5824,00$","595,00$","1890,00$","925,00$",Blainville,Laurentides,"13, rue Favre",4,3,1,2,"2,502 pi² (232.44 m²)",70.87x114.83 pi (21.6x35 m)
4254,889000$,"6173,00$","497,00$","2500,00$",,Fabreville,Laval,"369, rue Hector",3,2,1,2,"2,500 pi² (232.26 m²)","6,000 pi² (557.42 m²)"
4255,385000$,,,,,Granby,Estrie,"376, rue Saint-Charles Sud",4,2,,1,1 540 pi² (143.07 m²),10 140 pi² (942.04 m²)
